ID	Line	Day	Character	Character Art	Dialogue Type	Background	Next	Shortened Line 1	Next 2	Shortened Line 2	Music	Sound 1	Sound 2	Sound 3	Sound 4	Ambience	Notes
[D1O-1]	I feel like somebody should’ve warned me about how dangerous delivering pizzas could be.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-2]					N/A	N/A			Nighttime_Ambience	
[D1O-2]	Little did I know, death would be delivered to ME in the most tomatoey way possible.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-3]					N/A				Nighttime_Ambience	
[D1O-3]	Ugh…my head.	Day 1	Omar	N/A	Dialogue	Black_screen	[D1O-4]					N/A				Nighttime_Ambience	
[D1O-4]	I don't think I've ever had a headache this bad before. It feels like my brain was tossed into a blender with one too many nails and dumped back into my head after a good five-minute shake.	Day 1	Omar	N/A	Internal	Black_screen	[D1O-5]					N/A				Nighttime_Ambience	
[D1O-5]	SNIFF SNIFF	Day 1	Omar	N/A	Physical	Black_screen	[D1O-6]					N/A				Nighttime_Ambience	
[D1O-6]	What is that smell?	Day 1	Omar	N/A	Dialogue	Black_screen	[D1O-7]					N/A				Nighttime_Ambience	
[D1O-7]	IS THAT ME?	Day 1	Omar	Omar_Shocked	Dialogue	Outside_Apartment	[D1SG-1]				Silly_Track	N/A				Nighttime_Ambience	
[D1SG-1]	Duh. Who else could it be, silly?	Day 1	???	N/A	Dialogue	Outside_Apartment	[D1O-8]				Silly_Track	N/A				Nighttime_Ambience	
[D1O-8]	Who's there?	Day 1	Omar	Omar_Confused	Dialogue	Outside_Apartment	[D1O-9]				Silly_Track	N/A				Nighttime_Ambience	
[D1O-9]	I bolt to my feet and look around, but I don’t see anyone. 	Day 1	Omar	Omar_Confused	Physical	Outside_Apartment	[D1SG-2]				Silly_Track	Sparkle				Nighttime_Ambience	
[D1SG-2]	Hellooooooo darling~!	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1SG-3]				Silly_Track	N/A				Nighttime_Ambience	
[D1SG-3]	Ooky, kooky, and oh so fabulous.	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1SG-4]				Silly_Track	N/A				Nighttime_Ambience	
[D1SG-4]	As she winks, a puff of smoke shaped like a skull rises from her pipe.	Day 1	Spooky_Grimmother	SG_Smirking	Physical	Outside_Apartment	[D1SG-5]				Silly_Track					Nighttime_Ambience	
[D1SG-5]	Think of me as a distant auntie. It keeps a few centuries off of me, but call me your Spooky Grimmother. It’s all the same to me.	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1C1-1]	SCREAM! 	[D1C1-2]	How’d you get here?	Silly_Track					Nighttime_Ambience	
[D1C1-1]	The woman’s expression contorts to one of annoyance. She takes a puff from her pipe and lets out a sigh filled with exhaustion.	Day 1	Spooky_Grimmother	SG_Annoyed	Physical	Outside_Apartment	[D1SG-6]				Silly_Track					Nighttime_Ambience	
[D1SG-6]	And they say the dead aren’t loud…	Day 1	Spooky_Grimmother	SG_Annoyed	Dialogue	Outside_Apartment	[D1O-10]				Silly_Track					Nighttime_Ambience	
[D1O-10]	What? H-how’d you do that?	Day 1	Omar	Omar_Shocked	Dialogue	Outside_Apartment	[D1SG-11]				Silly_Track					Nighttime_Ambience	
[D1C1-2]	So, Spooky Grimmother, which side of the family are you from?	Day 1	Omar	Omar_Confused	Dialogue	Outside_Apartment	[D1SG-7]				Silly_Track					Nighttime_Ambience	
[D1SG-7]	She opens her mouth to answer but stops as if she’s in a freeze frame.	Day 1	Spooky_Grimmother	SG_Neutral	Physical	Outside_Apartment	[D1SG-8]				Silly_Track					Nighttime_Ambience	
[D1SG-8]	You know, I can’t even remember at this point. I’ve helped pass on so many of the family you’re all starting to blur together.	Day 1	Spooky_Grimmother	SG_Confused	Dialogue	Outside_Apartment	[D1SG-9]				Silly_Track					Nighttime_Ambience	
[D1SG-9]	She pinches my cheeks and something that looks like dust clings to her fingertips. She cringes at the sight and dusts her hand on her dress.	Day 1	Spooky_Grimmother	SG_Smirking	Physical	Outside_Apartment	[D1SG-10]				Silly_Track					Nighttime_Ambience	
[D1SG-10]	Sorry, hun. I’ve spent too much time in the Underworld. I haven’t had a case like yours in ages.	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1O-11]				Silly_Track					Nighttime_Ambience	
[D1O-11]	The Underworld is real?!	Day 1	Omar	Omar_Shocked	Dialogue	Outside_Apartment	[D1SG-11]				Silly_Track					Nighttime_Ambience	
[D1SG-11]	Wrong question, hun. Have you seen your reflection yet?	Day 1	Spooky_Grimmother	SG_Neutral	Dialogue	Outside_Apartment	[D1O-12]				Default_Track					Nighttime_Ambience	
[D1O-12]	No. Should I? Is something wrong?!	Day 1	Omar	Omar_Confused	Dialogue	Outside_Apartment	[D1SG-12]				Default_Track					Nighttime_Ambience	
[D1SG-12]	I’m guessing you don’t recognize the smell of decay on yourself either, huh?	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1SG-13]				Default_Track					Nighttime_Ambience	
[D1SG-13]	She wiggles her finger and a hand mirror pops into her palm.	Day 1	Spooky_Grimmother	Mirror_Item	Physical	Outside_Apartment	[D1SG-14]				Default_Track	Sparkle				Nighttime_Ambience	
[D1SG-14]	She holds it up to where I can see it. Something that could’ve been me stares back from the mirror, startling me, and makes me trip over my own feet to get away from it.	Day 1	Spooky_Grimmother	Mirror_Item	Physical	Outside_Apartment	[D1O-13]				Default_Track					Nighttime_Ambience	
[D1O-13]	I put my hand over my heart to catch my breath but all I feel is a cold. No pulse. I couldn’t even feel my lungs expand. I wasn’t breathing.	Day 1	Omar	Mirror_Item	Physical	Outside_Apartment	[D1SG-15]				Default_Track					Nighttime_Ambience	
[D1SG-15]	Honey, you’re a zombie.	Day 1	Spooky_Grimmother	SG_Neutral	Dialogue	Outside_Apartment	[D1O-14]									Nighttime_Ambience	
[D1O-14]	This time I didn't scream. I stare into the mirror and trace the shape of my cheeks. With one of my nails, I scratch at my face to see if I could feel anything. There wasn’t even an ache.	Day 1	Omar	Omar_Confused	Physical	Outside_Apartment	[D1O-15]									Nighttime_Ambience	
[D1O-15]	My jaw fell to the floor. Literally.	Day 1	Omar	Omar_Shocked	Physical	Outside_Apartment	[D1O-16]									Nighttime_Ambience	
[D1O-16]	What the hell is going on?	Day 1	Omar	Omar_Shocked	Dialogue	Outside_Apartment	[D1SG-16]									Nighttime_Ambience	
[D1SG-16]	A chance to get closure.	Day 1	Spooky_Grimmother	SG_Neutral	Dialogue	Outside_Apartment	[D1SG-17]									Nighttime_Ambience	
[D1SG-17]	She snaps her finger and my jaw floats up before reattaching to my head.	Day 1	Spooky_Grimmother	SG_Neutral	Physical	Outside_Apartment	[D1SG-18]									Nighttime_Ambience	
[D1SG-18]	If you haven’t connected the dots yet, you very much did not die from natural causes.	Day 1	Spooky_Grimmother	SG_Neutral	Dialogue	Outside_Apartment	[D1SG-19]									Nighttime_Ambience	
[D1SG-19]	You were killed.	Day 1	Spooky_Grimmother	SG_Stern	Dialogue	Outside_Apartment	[D1SG-20]									Nighttime_Ambience	
[D1SG-20]	So, I did what any good Grimmother would do and brought you back.	Day 1	Spooky_Grimmother	SG_Stern	Dialogue	Outside_Apartment	[D1SG-21]									Nighttime_Ambience	
[D1SG-21]	The rotting teeth and bones peeking out from your skin are just a minor side effect. 	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1C2-1]	I'm stuck like this?	[D1C2-2]	Bring me back to life all the way!						Nighttime_Ambience	
[D1C2-1]	So...	Day 1	Omar	Omar_Sad	Dialogue	Outside_Apartment	[D1O-17]									Nighttime_Ambience	
[D1O-17]	This is it for me? I’m just stuck as a zombie forever?	Day 1	Omar	Omar_Sad	Dialogue	Outside_Apartment	[D1O-18]									Nighttime_Ambience	
[D1O-18]	My chin follows my eyes as I stare down at my hands. The skin around my skull droops and weighs down my skull. Spooky Grimmother cups my face with her hands before my head could fall onto the ground and looks me dead in the eyes.	Day 1	Omar	Omar_Sad	Physical	Outside_Apartment	[D1SG-22]									Nighttime_Ambience	
[D1SG-22]	H-Hey! Don’t act like that. Zombification isn’t all bad. Most people don’t get the chance to find out who whacked them, but you do!	Day 1	Spooky_Grimmother	SG_Shocked	Dialogue	Outside_Apartment	[D1SG-23]									Nighttime_Ambience	
[D1SG-23]	No godchild of mine is going to waste an opportunity like this by acting like a bag of bones.	Day 1	Spooky_Grimmother	SG_Smirking	Dialogue	Outside_Apartment	[D1O-23]									Nighttime_Ambience	
