ID	Line	Day	Character	Character Art 1	Character Art 2	Character Art 3	Dialogue Type	Background	Next	Shortened Line 1	Next 2	Shortened Line 2	Music	Sound 1	Sound 2	Sound 3	Sound 4	Ambience	Notes
[D1O-1]	<i>I feel like somebody should’ve warned me about how dangerous delivering pizzas could be.</i>	Day 1					Internal	Black_screen	[D1O-2]									Nighttime_Ambience	
[D1O-2]	<i> The pay's good! What could go wrong Omar? </i>	Day 1					Internal	Dead_Omar_CG	[D1O-2a]									Nighttime_Ambience	Should Fade in and Fade out
[D1O-2a]	<i>Little did I know, death would be delivered to</i> <b>ME</b> <i> in the most tomatoey way possible.</i>	Day 1					Internal	Dead_Omar_CG	[D1O-3]									Nighttime_Ambience	
[D1O-3]	Ugh…my head.	Day 1	Omar				Dialogue	Black_screen	[D1O-4]									Nighttime_Ambience	
[D1O-4]	<i>I don't think I've ever had a headache this bad before. It feels like my brain was tossed into a blender with one too many nails and dumped back into my head after a good five-minute shake.</i>	Day 1	Omar				Internal	Black_screen	[D1O-5]									Nighttime_Ambience	
[D1O-5]	<b>SNIFF SNIFF</b>	Day 1					Physical	Black_screen	[D1O-6]									Nighttime_Ambience	
[D1O-6]	What is that smell?	Day 1	Omar				Dialogue	Black_screen	[D1O-7]									Nighttime_Ambience	
[D1O-7]	IS THAT ME?	Day 1	Omar	Omar_Shocked			Dialogue	Outside_Apartment	[D1SG-1]				Silly_Track					Nighttime_Ambience	
[D1SG-1]	Duh. Who else could it be, silly?	Day 1	???	Omar_Shocked			Dialogue	Outside_Apartment	[D1O-8]				Silly_Track					Nighttime_Ambience	
[D1O-8]	Who's there?	Day 1	Omar	Omar_Confused			Dialogue	Outside_Apartment	[D1O-9]				Silly_Track					Nighttime_Ambience	
[D1O-9]	I bolt to my feet and look around, but I don’t see anyone. 	Day 1		Omar_Confused			Physical	Outside_Apartment	[D1SG-2]				Silly_Track	Sparkle				Nighttime_Ambience	
[D1SG-2]	Hellooooooo darling~!	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-3]				Silly_Track					Nighttime_Ambience	
[D1SG-3]	Ooky, kooky, and oh so fabulous.	Day 1	Spooky_Grimmother	Omar_Shocked		SG_Smirking	Dialogue	Outside_Apartment	[D1SG-4]				Silly_Track					Nighttime_Ambience	
[D1SG-4]	As she winks, a puff of smoke shaped like a skull rises from her pipe.	Day 1		Omar_Shocked		SG_Smirking	Physical	Outside_Apartment	[D1SG-5]				Silly_Track					Nighttime_Ambience	
